# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

1f6a3_200d_2642;1f6a3_1f3ff_200d_2642
1f6b4_200d_2640;1f6b4 # XXX remove when 'person' artwork exists
1f6b4;1f6b4_1f3fb # person biking
1f6b4;1f6b4_1f3fc
1f6b4;1f6b4_1f3fd
1f6b4;1f6b4_1f3fe
1f6b4;1f6b4_1f3ff
1f6b4_200d_2640;1f6b4_1f3fb_200d_2640 # woman biking
1f6b4_200d_2640;1f6b4_1f3fc_200d_2640
1f6b4_200d_2640;1f6b4_1f3fd_200d_2640
1f6b4_200d_2640;1f6b4_1f3fe_200d_2640
1f6b4_200d_2640;1f6b4_1f3ff_200d_2640
1f6b4_200d_2642;1f6b4_1f3fb_200d_2642 # man biking
1f6b4_200d_2642;1f6b4_1f3fc_200d_2642
1f6b4_200d_2642;1f6b4_1f3fd_200d_2642
1f6b4_200d_2642;1f6b4_1f3fe_200d_2642
1f6b4_200d_2642;1f6b4_1f3ff_200d_2642
1f6b5_200d_2640;1f6b5 # XXX remove when 'person' artwork exists
1f6b5;1f6b5_1f3fb # person mountain biking
1f6b5;1f6b5_1f3fc
1f6b5;1f6b5_1f3fd
1f6b5;1f6b5_1f3fe
1f6b5;1f6b5_1f3ff
1f6b5_200d_2640;1f6b5_1f3fb_200d_2640 # woman mountain biking
1f6b5_200d_2640;1f6b5_1f3fc_200d_2640
1f6b5_200d_2640;1f6b5_1f3fd_200d_2640
1f6b5_200d_2640;1f6b5_1f3fe_200d_2640
1f6b5_200d_2640;1f6b5_1f3ff_200d_2640
1f6b5_200d_2642;1f6b5_1f3fb_200d_2642 # man mountain biking
1f6b5_200d_2642;1f6b5_1f3fc_200d_2642
1f6b5_200d_2642;1f6b5_1f3fd_200d_2642
1f6b5_200d_2642;1f6b5_1f3fe_200d_2642
1f6b5_200d_2642;1f6b5_1f3ff_200d_2642
1f6b6_200d_2640;1f6b6 # XXX remove when 'person' artwork exists
1f6b6;1f6b6_1f3fb # person walking
1f6b6;1f6b6_1f3fc
1f6b6;1f6b6_1f3fd
1f6b6;1f6b6_1f3fe
1f6b6;1f6b6_1f3ff
1f6b6_200d_2640;1f6b6_1f3fb_200d_2640 # woman walking
1f6b6_200d_2640;1f6b6_1f3fc_200d_2640
1f6b6_200d_2640;1f6b6_1f3fd_200d_2640
1f6b6_200d_2640;1f6b6_1f3fe_200d_2640
1f6b6_200d_2640;1f6b6_1f3ff_200d_2640
1f6b6_200d_2642;1f6b6_1f3fb_200d_2642 # man walking
1f6b6_200d_2642;1f6b6_1f3fc_200d_2642
1f6b6_200d_2642;1f6b6_1f3fd_200d_2642
1f6b6_200d_2642;1f6b6_1f3fe_200d_2642
1f6b6_200d_2642;1f6b6_1f3ff_200d_2642
1f9b8_200d_2640;1f9b8 # XXX remove when 'person' artwork exists
1f9b8;1f9b8_1f3fb # superhero
1f9b8;1f9b8_1f3fc
1f9b8;1f9b8_1f3fd
1f9b8;1f9b8_1f3fe
1f9b8;1f9b8_1f3ff
1f9b8_200d_2640;1f9b8_1f3fb_200d_2640 # woman superhero
1f9b8_200d_2640;1f9b8_1f3fc_200d_2640
1f9b8_200d_2640;1f9b8_1f3fd_200d_2640
1f9b8_200d_2640;1f9b8_1f3fe_200d_2640
1f9b8_200d_2640;1f9b8_1f3ff_200d_2640
1f9b8_200d_2642;1f9b8_1f3fb_200d_2642 # man superhero
1f9b8_200d_2642;1f9b8_1f3fc_200d_2642
1f9b8_200d_2642;1f9b8_1f3fd_200d_2642
1f9b8_200d_2642;1f9b8_1f3fe_200d_2642
