# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

# XXX all of these must be remove when 'person' artwork exists

# police officer
1f46e_200d_2640;1f46e
1f3c4_1f3fc_200d_2640;1f3c4_1f3fc
1f3c4_1f3fd_200d_2640;1f3c4_1f3fd
1f3c4_1f3fe_200d_2640;1f3c4_1f3fe
1f3c4_1f3ff_200d_2640;1f3c4_1f3ff

# person rowing boat
1f6a3_200d_2640;1f6a3
1f6a3_1f3fb_200d_2640;1f6a3_1f3fb
1f6a3_1f3fc_200d_2640;1f6a3_1f3fc
1f6a3_1f3fd_200d_2640;1f6a3_1f3fd
1f6a3_1f3fe_200d_2640;1f6a3_1f3fe
1f6a3_1f3ff_200d_2640;1f6a3_1f3ff

# person swimming
1f3ca_200d_2640;1f3ca
1f3ca_1f3fb_200d_2640;1f3ca_1f3fb
1f3ca_1f3fc_200d_2640;1f3ca_1f3fc
1f3ca_1f3fd_200d_2640;1f3ca_1f3fd
1f3ca_1f3fe_200d_2640;1f3ca_1f3fe
1f3ca_1f3ff_200d_2640;1f3ca_1f3ff

# person bouncing ball
26f9_200d_2640;26f9
26f9_1f3fb_200d_2640;26f9_1f3fb
26f9_1f3fc_200d_2640;26f9_1f3fc
26f9_1f3fd_200d_2640;26f9_1f3fd
26f9_1f3fe_200d_2640;26f9_1f3fe
26f9_1f3ff_200d_2640;26f9_1f3ff

# person lifting weights
1f3cb_200d_2640;1f3cb
1f3cb_1f3fb_200d_2640;1f3cb_1f3fb
1f3cb_1f3fc_200d_2640;1f3cb_1f3fc
1f3cb_1f3fd_200d_2640;1f3cb_1f3fd
1f3cb_1f3fe_200d_2640;1f3cb_1f3fe
1f3cb_1f3ff_200d_2640;1f3cb_1f3ff

# person biking
1f6b4_200d_2640;1f6b4
1f6b4_1f3fb_200d_2640;1f6b4_1f3fb
1f6b4_1f3fc_200d_2640;1f6b4_1f3fc
1f6b4_1f3fd_200d_2640;1f6b4_1f3fd
1f6b4_1f3fe_200d_2640;1f6b4_1f3fe
1f6b4_1f3ff_200d_2640;1f6b4_1f3ff

# person mountain biking
1f6b5_200d_2640;1f6b5
1f6b5_1f3fb_200d_2640;1f6b5_1f3fb
1f6b5_1f3fc_200d_2640;1f6b5_1f3fc
1f6b5_1f3fd_200d_2640;1f6b5_1f3fd
1f6b5_1f3fe_200d_2640;1f6b5_1f3fe
1f6b5_1f3ff_200d_2640;1f6b5_1f3ff

# person cartwheeling
1f938_200d_2640;1f938
1f938_1f3fb_200d_2640;1f938_1f3fb
1f938_1f3fc_200d_2640;1f938_1f3fc
1f938_1f3fd_200d_2640;1f938_1f3fd
1f938_1f3fe_200d_2640;1f938_1f3fe
1f938_1f3ff_200d_2640;1f938_1f3ff

# people wrestling
1f93c_200d_2640;1f93c
1f93c_1f3fb_200d_2640;1f93c_1f3fb
1f93c_1f3fc_200d_2640;1f93c_1f3fc
1f93c_1f3fd_200d_2640;1f93c_1f3fd
1f93c_1f3fe_200d_2640;1f93c_1f3fe
1f93c_1f3ff_200d_2640;1f93c_1f3ff

# person playing water polo
1f93d_200d_2640;1f93d
1f93d_1f3fb_200d_2640;1f93d_1f3fb
1f93d_1f3fc_200d_2640;1f93d_1f3fc
1f93d_1f3fd_200d_2640;1f93d_1f3fd
1f93d_1f3fe_200d_2640;1f93d_1f3fe
1f93d_1f3ff_200d_2640;1f93d_1f3ff

# person playing handball
1f93e_200d_2640;1f93e
1f93e_1f3fb_200d_2640;1f93e_1f3fb
1f93e_1f3fc_200d_2640;1f93e_1f3fc
1f93e_1f3fd_200d_2640;1f93e_1f3fd
1f93e_1f3fe_200d_2640;1f93e_1f3fe
1f93e_1f3ff_200d_2640;1f93e_1f3ff

# person juggling
1f939_200d_2640;1f939
1f939_1f3fb_200d_2640;1f939_1f3fb
1f939_1f3fc_200d_2640;1f939_1f3fc
1f939_1f3fd_200d_2640;1f939_1f3fd
1f939_1f3fe_200d_2640;1f939_1f3fe
1f939_1f3ff_200d_2640;1f939_1f3ff

